"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"473","IZHQ","Ni007_152",NA,"IS41778","Ni007","Hamo Kirey","Gates",NA,NA,0.1133041285,0.01992892793,1.243179,17,"Landrace",NA,"Niger","Kokoro",14.21138,0.916944,NA,NA
"474","IXQD","PI563302","PI563302",NA,NA,"MAYO","Gates",NA,NA,0.09931925685,0.01906754737,1.085756,5,"Cultivar","Caudatum","Sudan",NA,14.23999977,23.29000092,NA,14.23999977
"475","IXNS","PI570125","PI570125","IS22903",NA,"IS22903","Gates",NA,NA,0.1183634822,0.02118653171,1.257525,13,"Landrace,Cultivated",NA,"Sudan",NA,14.25,31.1,NA,14.25
"476","IXMH","PI570604","PI570604","IS6925",NA,"A/331 IS6925","Gates",NA,NA,0.1101361916,0.021067404,1.240203,15,"Landrace,Cultivated","Guinea-kafir","Sudan",NA,14.270001,32.169998,NA,14.27000046
"477","IFFE","PI330199","PI330199","IS11917",NA,"IS11917","BAP",NA,NA,0.1366652224,0.03163894024,1.25697,18,"Landrace",NA,"Ethiopia",NA,14.273951,39.422016,2500,14.27999973
"478","JBSK","Sen046_021",NA,NA,"Sn046","Bassi","Gates",NA,NA,0.1081588932,0.01957220074,1.210541,17,"Landrace","Guinea","Senegal","Sinthiou-Malème",14.2758,-12.80619,NA,NA
"479","IXPR","PI513846","PI513846",NA,NA,"Amo Koire","Gates",NA,NA,0.1026481695,0.03446126317,1.115924,8,"Cultivar","Kafir-bicolor","Niger",NA,14.28691,2.548415,NA,14.28691
"480","IXNX","PI570218","PI570218","IS22998",NA,"IS22998","Gates",NA,NA,0.1051826576,0.02052971556,1.081963,19,"Landrace,Cultivated","Durra","Sudan",NA,14.300001,22.566702,NA,14.300001
"481","JBSL","Sen048_036",NA,NA,"Sn048","Tigne de Dangalma","Gates",NA,NA,0.1974295731,0.0330821357,2.329071,10,"Landrace","Guinea","Senegal","Fatick",14.3166654,-16.416665,NA,NA
"482","IPDZ","PI570253","PI570253","IS23033",NA,"IS23033","Gates",NA,NA,0.1202423926,0.01915828808,1.164595,13,"Landrace,Cultivated",NA,"Sudan",NA,14.319999,33.419998,NA,14.319999
"483","IXMT","PI513564","PI513564",NA,NA,"Mota","Gates",NA,NA,0.1113591361,0.02058737173,1.167402,13,"Cultivar",NA,"Niger",NA,14.33,6.78,NA,14.33
"484","IXNK","PI586112","PI586112","IS27302",NA,"IS27302","Gates",NA,NA,0.1116287879,0.01921301088,1.087158,8,"Landrace,Cultivated","Durra","Burkina Faso",NA,14.350001,-0.409999,NA,14.35000038
"485","IXMS","PI513514","PI513514",NA,NA,"Lalla","Gates",NA,NA,0.1037280799,0.01984297829,1.174176,13,"Cultivar","Caudatum-bicolor","Niger",NA,14.38000011,9.029999733,NA,14.38000011
"486","INLP","PI329299_IS_11057","PI329299","IS11057",NA,"IS11057","BAP",NA,NA,0.1333632084,0.02261965295,1.203035,18,"Landrace","Durra-caudatum","Ethiopia",NA,14.399999,39.380001,1600,14.39999962
"487","IFJE","PI329300","PI329300","IS11058",NA,"IS11058","BAP",NA,NA,0.1360398155,0.0226400119,1.205042,18,"Landrace","Durra","Ethiopia",NA,14.399999,39.380001,1600,14.39999962
"488","IFJF","PI329301","PI329301","IS11059",NA,"IS11059","JGI_Ref",NA,NA,0.1342791481,0.02273058292,1.206392,18,"Landrace",NA,"Ethiopia",NA,14.399999,39.380001,1600,14.39999962
